Ethnic group ,Sex,Age group (years),Estimated number of bacteraemia infections,Estimated number of resistant bacteraemia infections,Percentage of episodes reported resistant
Any other ethnic group,Female,less than 1,22,9.1,41.5
Any other ethnic group,Male,1 to 4,7.7,1.1,14.2
Any other ethnic group,Male,10 to 14,5.5,0,0
Any other ethnic group,Male,15 to 44,58.2,8.7,14.9
Any other ethnic group,Male,45 to 64,94.4,35.8,37.9
Any other ethnic group,Male,5 to 9,3.3,1.1,33.3
Any other ethnic group,Male,65 to 74,57.1,32.9,57.6
Any other ethnic group,Male,75 and over,76.7,22.9,29.8
Any other ethnic group,Male,less than 1,15.4,2.2,14.2
Any other ethnic group,Unknown,15 to 44,0,0,0
Any other ethnic group,Unknown,45 to 64,0,0,0
Any other ethnic group,Unknown,5 to 9,0,0,0
Any other ethnic group,Unknown,65 to 74,0,0,0
Any other ethnic group,Unknown,75 and over,0,0,0
Any other ethnic group,Unknown,Unknown  ,0,0,0
Any other ethnic group,Unknown,less than 1,0,0,0
