Local area region,Estimated number of resistant bloodstream infections,Rate per 100000 population resistant bloodstream infections,Estimated number of bloodstream infections,Rate per 100000 population bloodstream infections
East Midlands,1,206,24.7,7,052,144.5
East of England,1,906,28.7,9,140,137.7
London,3,448,39.2,12,456,141.6
North East,734,27.7,4,864,183.8
North West,2,444,32.9,12,067,162.6
South East,2,474,27.5,13,038,144.8
South West,1,300,22.8,8,189,143.3
West Midlands,1,507,25.3,8,301,139.4
Yorkshire and Humber,1,656,30.2,9,172,167.3
