Local area region,Estimated number of resistant bloodstream infections,Rate per 100000 population resistant bloodstream infections,Estimated number of bloodstream infections,Rate per 100000 population bloodstream infections
206.0,24.7,7,52.0,144.5
906.0,28.7,9,140.0,137.7
448.0,39.2,12,456.0,141.6
444.0,32.9,12,67.0,162.6
474.0,27.5,13,38.0,144.8
300.0,22.8,8,189.0,143.3
507.0,25.3,8,301.0,139.4
656.0,30.2,9,172.0,167.3
