Local area region,Estimated number of resistant bloodstream infections,Rate per 100000 population resistant bloodstream infections,Estimated number of bloodstream infections,Rate per 100000 population bloodstream infections
998.0,55.5,11.0,803.0,131.1
217.0,37.2,8.0,555.0,143.5
44.0,37.0,8.0,696.0,157.4
562.0,32.1,6.0,986.0,143.6
629.0,39.3,8.0,752.0,130.7
276.0,44.5,11.0,248.0,152.7
673.0,41.1,12.0,816.0,143.2
826.0,33.2,8.0,226.0,149.5
