Region,year,"Total Consumption","AMR Total 2022"
"East Midlands",2021,26762700,1206
"East of England",2021,37135300,1906
London,2021,43650300,3448
"North East",2021,17848700,734
"North West",2021,45906100,2444
"South East",2021,48057500,2474
"South West",2021,28844200,1300
"West Midlands",2021,33567100,1507
"Yorkshire and Humber",2021,32115600,1656
