Region,year,"Total Consumption","AMR Total 2023"
London,2022,48817500,3679
"West Midlands",2022,36904300,1836
"East Midlands",2022,29082100,1310
"East of England",2022,40785500,2293
"North East",2022,19351400,805
"Yorkshire and Humber",2022,35265300,1921
"North West",2022,49862300,2688
"South West",2022,31592600,1491
"South East",2022,52265800,2781
