Region,year,"Total Consumption","AMR Total 2021"
London,2020,43847400,4998
"West Midlands",2020,33678800,2217
"North East",2020,17510800,909
"Yorkshire and Humber",2020,31956900,2044
"East Midlands",2020,26661000,1562
"East of England",2020,37112000,2629
"North West",2020,45383100,3276
"South East",2020,48517000,3673
"South West",2020,29631900,1826
