Region,"Rate per 100000 population resistant bacteraemia infections"
London,41.5
"West Midlands",30.5
"East Midlands",26.6
"East of England",34.3
"North East",30
"Yorkshire and Humber",34.7
"North West",35.8
"South West",25.9
"South East",30.6
