Region,"Rate per 100000 population resistant bloodstream infections"
"East Midlands",24.7
"East of England",28.7
London,39.2
"North East",27.7
"North West",32.9
"South East",27.5
"South West",22.8
"West Midlands",25.3
"Yorkshire and Humber",30.2
